//combi;ind_climat;ind_clim_refForBau;ind_NUC;ind_ENR;ind_bioEnergy;ind_expectations;pol_infra;ind_recycl;ind_sufficiency;ind_efficiency;ind_fuelswitching;ind_electrification_indu;ind_lindhal;ind_lim_nuke;ind_limCCS_InjRate;ind_high_VRE;indice_LED;ind_impacts;ind_coalpolicies
//indices should be in the first line; as used in the code; without space separated by a semi-column;;;;;;;;;;;;;;;;;
4120;4;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
4121;4;1;1;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0
4122;4;1;1;1;1;0;0;0;0;0;1;2;0;0;1;0;0;0;0
4123;4;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
4125;4;1;1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0
4126;4;1;1;1;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0
4128;4;1;1;1;1;0;1;0;1;1;1;2;0;0;0;1;0;0;0
5002;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5003;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5004;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5005;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5012;4;2;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
5013;4;2;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
5014;4;2;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
5015;4;2;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
6201;8;1;1;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0
6202;8;1;1;1;1;0;1;0;1;1;0;1;1;0;1;0;0;0;0
6203;8;1;1;1;1;0;0;0;0;0;1;2;1;0;0;1;0;0;0
6204;8;1;1;1;1;0;1;0;1;1;1;2;1;0;0;1;0;0;0
6101;8;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
6102;8;1;1;1;1;0;1;0;1;1;0;1;0;0;1;0;0;0;0
6103;8;1;1;1;1;0;0;0;0;0;1;2;0;0;0;1;0;0;0
6104;8;1;1;1;1;0;1;0;1;1;1;2;0;0;0;1;0;0;0
6301;8;1;1;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0
6302;8;1;1;1;1;0;1;0;1;1;0;1;1;0;1;0;0;0;0
6303;8;1;1;1;1;0;0;0;0;0;1;2;1;0;0;1;0;0;0
6304;8;1;1;1;1;0;1;0;1;1;1;2;1;0;0;1;0;0;0
1204;9;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1214;9;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0
1244;9;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;4;0;0
1264;9;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;6;0;0
1284;9;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;8;0;0
1294;9;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;9;0;0
172;17;1;1;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
4202;4;1;1;1;1;0;0;3;0;0;0;2;0;0;0;0;0;0;0
9111;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
9113;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
9112;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
9211;8;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
9212;8;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
9213;8;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
